k_folds, iter, min_obs, fm, npred, sd_error, cv_error
10,10,50,1,10,0.00037051,0.086512
10,30,50,1,25,0.00047316,0.066211
10,30,50,1,25,0.0010013,0.065548
10,30,50,1,50,0.0011472,0.063365
2,20,350,0,5,0.0022999,0.09648
2,20,350,0,50,0.0011128,0.061921
2,20,350,1,5,0.0013703,0.1016
2,20,350,1,50,0.00028499,0.064546
2,20,100,0,5,0.00067394,0.10227
2,20,100,0,50,0.0010639,0.062607
2,20,100,1,5,0.0013179,0.10942
2,20,100,1,50,0.00027576,0.064469
2,50,60,0,100,0.00052909,0.058769
2,50,60,0,120,0.00048272,0.060045
2,50,60,1,100,0.0011381,0.062656
2,50,55,0,90,0.00013826,0.060251
2,50,55,0,110,0.00013745,0.059699
2,50,65,0,90,0.00099066,0.05967
2,50,65,0,110,0.00064953,0.060155
2,50,60,1,100,0.00082438,0.061834
5,50,60,0,90,0.0015804,0.054372
5,50,60,0,100,0.0014896,0.053562
5,50,60,0,110,0.0018113,0.054158
5,50,60,1,90,0.0015705,0.055677
5,50,60,1,100,0.0014337,0.054455
5,50,60,1,110,0.00097486,0.054765
5,50,65,0,90,0.0022162,0.053758
5,50,65,0,100,0.0020892,0.054573
5,50,65,0,110,0.0012965,0.054424
5,50,65,1,90,0.0010644,0.055055
5,50,65,1,100,0.001911,0.055088
5,50,65,1,110,0.00063067,0.056041
5,200,60,1,100,0.0018681,0.054603
5,50,70,0,80,0.0015291,0.054352
5,50,70,0,100,0.00062771,0.053424
5,50,70,0,120,0.00091034,0.054058
5,50,70,1,80,0.0005799,0.055261
5,50,70,1,100,0.0020006,0.055238
5,50,70,1,120,0.0016323,0.055466
5,50,75,0,80,0.0014441,0.054776
5,50,75,0,100,0.0014678,0.054083
5,50,75,0,120,0.0012354,0.053996
5,50,75,1,80,0.0010999,0.054956
5,50,75,1,100,0.0011479,0.055206
5,50,75,1,120,0.001757,0.054887
5,50,80,0,80,0.0014877,0.05439
5,50,80,0,100,0.0015112,0.054019
5,50,80,0,120,0.0014846,0.053804
5,50,80,1,80,0.0013706,0.055152
5,50,80,1,100,0.0016498,0.056012
5,50,80,1,120,0.00084231,0.055653
5,200,70,0,100,0.0010159,0.053165
